State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Odisha,BALESHWAR,Dry chillies,2003-04,Whole Year,4440.0,Hectare,3820.0,Tonnes,0.8603603603603603
Odisha,BARGARH,Dry chillies,2001-02,Whole Year,5120.0,Hectare,4300.0,Tonnes,0.83984375
Odisha,BARGARH,Dry chillies,2002-03,Whole Year,3460.0,Hectare,2910.0,Tonnes,0.8410404624277457
Odisha,BARGARH,Dry chillies,2003-04,Whole Year,2560.0,Hectare,2200.0,Tonnes,0.859375
Odisha,BHADRAK,Dry chillies,2001-02,Whole Year,1880.0,Hectare,1580.0,Tonnes,0.8404255319148937
Odisha,BHADRAK,Dry chillies,2002-03,Whole Year,1830.0,Hectare,1490.0,Tonnes,0.8142076502732241
Odisha,BHADRAK,Dry chillies,2003-04,Whole Year,3570.0,Hectare,2900.0,Tonnes,0.8123249299719888
Odisha,BOUDH,Dry chillies,2001-02,Whole Year,880.0,Hectare,730.0,Tonnes,0.8295454545454546
Odisha,BOUDH,Dry chillies,2002-03,Whole Year,760.0,Hectare,580.0,Tonnes,0.7631578947368421
Odisha,BOUDH,Dry chillies,2003-04,Whole Year,920.0,Hectare,710.0,Tonnes,0.7717391304347826
Odisha,CUTTACK,Dry chillies,2001-02,Whole Year,1870.0,Hectare,1610.0,Tonnes,0.8609625668449198
Odisha,CUTTACK,Dry chillies,2002-03,Whole Year,3120.0,Hectare,2650.0,Tonnes,0.8493589743589743
Odisha,CUTTACK,Dry chillies,2003-04,Whole Year,3530.0,Hectare,3000.0,Tonnes,0.8498583569405099
Odisha,DEOGARH,Dry chillies,2001-02,Whole Year,1740.0,Hectare,1410.0,Tonnes,0.8103448275862069
Odisha,DEOGARH,Dry chillies,2002-03,Whole Year,1050.0,Hectare,880.0,Tonnes,0.8380952380952381
Odisha,DEOGARH,Dry chillies,2003-04,Whole Year,1690.0,Hectare,1450.0,Tonnes,0.8579881656804734
Odisha,DHENKANAL,Dry chillies,2001-02,Whole Year,3420.0,Hectare,2910.0,Tonnes,0.8508771929824561
Odisha,DHENKANAL,Dry chillies,2002-03,Whole Year,2500.0,Hectare,2130.0,Tonnes,0.852
Odisha,DHENKANAL,Dry chillies,2003-04,Whole Year,2550.0,Hectare,2170.0,Tonnes,0.8509803921568627
Odisha,GAJAPATI,Dry chillies,2001-02,Whole Year,1860.0,Hectare,1470.0,Tonnes,0.7903225806451613
Odisha,GAJAPATI,Dry chillies,2002-03,Whole Year,1920.0,Hectare,1630.0,Tonnes,0.8489583333333334
Odisha,GAJAPATI,Dry chillies,2003-04,Whole Year,1950.0,Hectare,1660.0,Tonnes,0.8512820512820513
Odisha,GANJAM,Dry chillies,2001-02,Whole Year,4650.0,Hectare,4040.0,Tonnes,0.8688172043010752
Odisha,GANJAM,Dry chillies,2002-03,Whole Year,5000.0,Hectare,4400.0,Tonnes,0.88
Odisha,GANJAM,Dry chillies,2003-04,Whole Year,4550.0,Hectare,4000.0,Tonnes,0.8791208791208791
Odisha,JAGATSINGHAPUR,Dry chillies,2001-02,Whole Year,560.0,Hectare,500.0,Tonnes,0.8928571428571429
Odisha,JAGATSINGHAPUR,Dry chillies,2002-03,Whole Year,5330.0,Hectare,4530.0,Tonnes,0.849906191369606
Odisha,JAGATSINGHAPUR,Dry chillies,2003-04,Whole Year,3720.0,Hectare,3160.0,Tonnes,0.8494623655913979
Odisha,JAJAPUR,Dry chillies,2001-02,Whole Year,830.0,Hectare,710.0,Tonnes,0.8554216867469879
Odisha,JAJAPUR,Dry chillies,2002-03,Whole Year,2370.0,Hectare,1990.0,Tonnes,0.8396624472573839
